Area,Element,Year,Value
Africa,Production,1992,13139
Eastern Africa,Import Quantity,1992,1867
Eastern Africa,Production,1992,1305
Middle Africa,Import Quantity,1992,712
Middle Africa,Production,1992,6
Northern Africa,Import Quantity,1992,13037
Northern Africa,Production,1992,10439
Southern Africa,Import Quantity,1992,774
Southern Africa,Production,1992,1340
Western Africa,Import Quantity,1992,2072
Western Africa,Production,1992,49
Africa,Import Quantity,1991,17929
Africa,Production,1991,17496
Eastern Africa,Import Quantity,1991,1570
Eastern Africa,Production,1991,1495
Middle Africa,Import Quantity,1991,553
Middle Africa,Production,1991,6
Northern Africa,Import Quantity,1991,12854
Northern Africa,Production,1991,13763
Southern Africa,Import Quantity,1991,1023
Southern Africa,Production,1991,2157
Western Africa,Import Quantity,1991,1930
Western Africa,Production,1991,75
Africa,Import Quantity,1990,17231
Africa,Production,1990,13546
Eastern Africa,Import Quantity,1990,1539
Eastern Africa,Production,1990,1564
Middle Africa,Import Quantity,1990,581
Middle Africa,Production,1990,5
Northern Africa,Import Quantity,1990,12727
Northern Africa,Production,1990,10163
Southern Africa,Import Quantity,1990,798
Southern Africa,Production,1990,1749
Western Africa,Import Quantity,1990,1587
Western Africa,Production,1990,66
Africa,Import Quantity,1989,18648
Africa,Production,1989,12543
Eastern Africa,Import Quantity,1989,911
Eastern Africa,Production,1989,1501
Middle Africa,Import Quantity,1989,620
Middle Africa,Production,1989,3
Northern Africa,Import Quantity,1989,15631
Northern Africa,Production,1989,8928
Southern Africa,Import Quantity,1989,212
Southern Africa,Production,1989,2046
Western Africa,Import Quantity,1989,1273
Western Africa,Production,1989,65
Africa,Import Quantity,1988,18185
Africa,Production,1988,13140
Eastern Africa,Import Quantity,1988,1666
Eastern Africa,Production,1988,1422
Middle Africa,Import Quantity,1988,609
Middle Africa,Production,1988,5
Northern Africa,Import Quantity,1988,14219
Northern Africa,Production,1988,8013
Southern Africa,Import Quantity,1988,271
Southern Africa,Production,1988,3646
Western Africa,Import Quantity,1988,1420
Western Africa,Production,1988,54
Africa,Import Quantity,1987,16313
Africa,Production,1987,12521
Eastern Africa,Import Quantity,1987,1117
Eastern Africa,Production,1987,1350
Middle Africa,Import Quantity,1987,506
Middle Africa,Production,1987,4
Northern Africa,Import Quantity,1987,13260
Northern Africa,Production,1987,7840
Southern Africa,Import Quantity,1987,281
Southern Africa,Production,1987,3180
Western Africa,Import Quantity,1987,1148
Western Africa,Production,1987,147
Africa,Import Quantity,1986,16514
Africa,Production,1986,11685
Eastern Africa,Import Quantity,1986,1162
Eastern Africa,Production,1986,1393
Middle Africa,Import Quantity,1986,366
Middle Africa,Production,1986,3
Northern Africa,Import Quantity,1986,12554
Northern Africa,Production,1986,7795
Southern Africa,Import Quantity,1986,523
Southern Africa,Production,1986,2352
Western Africa,Import Quantity,1986,1909
Western Africa,Production,1986,142
Africa,Import Quantity,1985,18505
Africa,Production,1985,10257
Eastern Africa,Import Quantity,1985,1320
Eastern Africa,Production,1985,1242
Middle Africa,Import Quantity,1985,390
Middle Africa,Production,1985,9
Northern Africa,Import Quantity,1985,14108
Northern Africa,Production,1985,7167
Southern Africa,Import Quantity,1985,262
Southern Africa,Production,1985,1718
Western Africa,Import Quantity,1985,2426
Western Africa,Production,1985,122
Africa,Import Quantity,1984,17403
Africa,Production,1984,8994
Eastern Africa,Import Quantity,1984,934
Eastern Africa,Production,1984,1024
Middle Africa,Import Quantity,1984,475
Middle Africa,Production,1984,5
Northern Africa,Import Quantity,1984,13354
Northern Africa,Production,1984,5559
Southern Africa,Import Quantity,1984,630
Southern Africa,Production,1984,2369
Western Africa,Import Quantity,1984,2009
Western Africa,Production,1984,37
Africa,Import Quantity,1983,15794
Africa,Production,1983,8800
Eastern Africa,Import Quantity,1983,891
Eastern Africa,Production,1983,1401
Middle Africa,Import Quantity,1983,453
Middle Africa,Production,1983,14
Northern Africa,Import Quantity,1983,12415
Northern Africa,Production,1983,5550
Southern Africa,Import Quantity,1983,198
Southern Africa,Production,1983,1804
Western Africa,Import Quantity,1983,1837
Western Africa,Production,1983,30
Africa,Import Quantity,1982,14746
Africa,Production,1982,9979
Eastern Africa,Import Quantity,1982,921
Eastern Africa,Production,1982,1239
Middle Africa,Import Quantity,1982,377
Middle Africa,Production,1982,11
Northern Africa,Import Quantity,1982,11088
Northern Africa,Production,1982,6235
Southern Africa,Import Quantity,1982,271
Southern Africa,Production,1982,2463
Western Africa,Import Quantity,1982,2088
Western Africa,Production,1982,30
Africa,Import Quantity,1981,14744
Africa,Production,1981,8788
Eastern Africa,Import Quantity,1981,803
Eastern Africa,Production,1981,1138
Middle Africa,Import Quantity,1981,346
Middle Africa,Production,1981,13
Northern Africa,Import Quantity,1981,11043
Northern Africa,Production,1981,5230
Southern Africa,Import Quantity,1981,450
Southern Africa,Production,1981,2377
Western Africa,Import Quantity,1981,2101
Western Africa,Production,1981,30
Africa,Import Quantity,1980,14241
Africa,Production,1980,8771
Eastern Africa,Import Quantity,1980,1029
Eastern Africa,Production,1980,1067
Middle Africa,Import Quantity,1980,394
Middle Africa,Production,1980,15
Northern Africa,Import Quantity,1980,10770
Northern Africa,Production,1980,6159
Southern Africa,Import Quantity,1980,142
Southern Africa,Production,1980,1504
Western Africa,Import Quantity,1980,1906
Western Africa,Production,1980,27
Africa,Import Quantity,1979,12409
Africa,Production,1979,8707
Eastern Africa,Import Quantity,1979,668
Eastern Africa,Production,1979,965
Middle Africa,Import Quantity,1979,442
Middle Africa,Production,1979,16
Northern Africa,Import Quantity,1979,9572
Northern Africa,Production,1979,5577
Southern Africa,Import Quantity,1979,123
Southern Africa,Production,1979,2124
Western Africa,Import Quantity,1979,1604
Western Africa,Production,1979,25
Africa,Import Quantity,1978,12907
Africa,Production,1978,8651
Eastern Africa,Import Quantity,1978,677
Eastern Africa,Production,1978,904
Middle Africa,Import Quantity,1978,335
Middle Africa,Production,1978,16
Northern Africa,Import Quantity,1978,9633
Northern Africa,Production,1978,5954
Southern Africa,Import Quantity,1978,117
Southern Africa,Production,1978,1753
Western Africa,Import Quantity,1978,2144
Western Africa,Production,1978,24
Africa,Import Quantity,1977,10480
Africa,Production,1977,7861
Eastern Africa,Import Quantity,1977,597
Eastern Africa,Production,1977,1028
Middle Africa,Import Quantity,1977,285
Middle Africa,Production,1977,15
Northern Africa,Import Quantity,1977,8018
Northern Africa,Production,1977,4851
Southern Africa,Import Quantity,1977,107
Southern Africa,Production,1977,1943
Western Africa,Import Quantity,1977,1472
Western Africa,Production,1977,24
Africa,Import Quantity,1976,9007
Africa,Production,1976,10148
Eastern Africa,Import Quantity,1976,461
Eastern Africa,Production,1976,961
Middle Africa,Import Quantity,1976,228
Middle Africa,Production,1976,19
Northern Africa,Import Quantity,1976,6949
Northern Africa,Production,1976,6852
Southern Africa,Import Quantity,1976,102
Southern Africa,Production,1976,2294
Western Africa,Import Quantity,1976,1267
Western Africa,Production,1976,21
Africa,Import Quantity,1975,8993
Africa,Production,1975,9609
Eastern Africa,Import Quantity,1975,751
Eastern Africa,Production,1975,1070
Middle Africa,Import Quantity,1975,275
Middle Africa,Production,1975,18
Northern Africa,Import Quantity,1975,7036
Northern Africa,Production,1975,6660
Southern Africa,Import Quantity,1975,80
Southern Africa,Production,1975,1839
Western Africa,Import Quantity,1975,851
Western Africa,Production,1975,22
Africa,Import Quantity,1974,8089
Africa,Production,1974,8647
Eastern Africa,Import Quantity,1974,580
Eastern Africa,Production,1974,1023
Middle Africa,Import Quantity,1974,258
Middle Africa,Production,1974,24
Northern Africa,Import Quantity,1974,6325
Northern Africa,Production,1974,5922
Southern Africa,Import Quantity,1974,87
Southern Africa,Production,1974,1655
Western Africa,Import Quantity,1974,840
Western Africa,Production,1974,22
Africa,Import Quantity,1973,5814
Africa,Production,1973,8626
Eastern Africa,Import Quantity,1973,491
Eastern Africa,Production,1973,968
Middle Africa,Import Quantity,1973,245
Middle Africa,Production,1973,19
Northern Africa,Import Quantity,1973,3941
Northern Africa,Production,1973,5712
Southern Africa,Import Quantity,1973,87
Southern Africa,Production,1973,1910
Western Africa,Import Quantity,1973,1049
Western Africa,Production,1973,18
Africa,Import Quantity,1972,5446
Africa,Production,1972,9571
Eastern Africa,Import Quantity,1972,570
Eastern Africa,Production,1972,1230
Middle Africa,Import Quantity,1972,224
Middle Africa,Production,1972,23
Northern Africa,Import Quantity,1972,3796
Northern Africa,Production,1972,6524
Southern Africa,Import Quantity,1972,94
Southern Africa,Production,1972,1772
Western Africa,Import Quantity,1972,763
Western Africa,Production,1972,23
Africa,Import Quantity,1971,5956
Africa,Production,1971,9047
Eastern Africa,Import Quantity,1971,497
Eastern Africa,Production,1971,1215
Middle Africa,Import Quantity,1971,230
Middle Africa,Production,1971,19
Northern Africa,Import Quantity,1971,4347
Northern Africa,Production,1971,6060
Southern Africa,Import Quantity,1971,114
Southern Africa,Production,1971,1730
Western Africa,Import Quantity,1971,768
Western Africa,Production,1971,22
Africa,Import Quantity,1970,4233
Africa,Production,1970,8044
Eastern Africa,Import Quantity,1970,498
Eastern Africa,Production,1970,1161
Middle Africa,Import Quantity,1970,203
Middle Africa,Production,1970,19
Northern Africa,Import Quantity,1970,2612
Northern Africa,Production,1970,5388
Southern Africa,Import Quantity,1970,181
Southern Africa,Production,1970,1455
Western Africa,Import Quantity,1970,739
Western Africa,Production,1970,22
Africa,Import Quantity,1969,3709
Africa,Production,1969,7212
Eastern Africa,Import Quantity,1969,360
Eastern Africa,Production,1969,1115
Middle Africa,Import Quantity,1969,184
Middle Africa,Production,1969,22
Northern Africa,Import Quantity,1969,2553
Northern Africa,Production,1969,4675
Southern Africa,Import Quantity,1969,64
Southern Africa,Production,1969,1377
Western Africa,Import Quantity,1969,549
Western Africa,Production,1969,22
Africa,Import Quantity,1968,5034
Africa,Production,1968,8716
Eastern Africa,Import Quantity,1968,399
Eastern Africa,Production,1968,1062
Middle Africa,Import Quantity,1968,179
Middle Africa,Production,1968,33
Northern Africa,Import Quantity,1968,3964
Northern Africa,Production,1968,6297
Southern Africa,Import Quantity,1968,44
Southern Africa,Production,1968,1302
Western Africa,Import Quantity,1968,449
Western Africa,Production,1968,23
Africa,Import Quantity,1967,6217
Africa,Production,1967,6848
Eastern Africa,Import Quantity,1967,398
Eastern Africa,Production,1967,961
Middle Africa,Import Quantity,1967,130
Middle Africa,Production,1967,35
Northern Africa,Import Quantity,1967,4723
Northern Africa,Production,1967,4699
Southern Africa,Import Quantity,1967,521
Southern Africa,Production,1967,1128
Western Africa,Import Quantity,1967,445
Western Africa,Production,1967,24
Africa,Import Quantity,1966,5740
Africa,Production,1966,5531
Eastern Africa,Import Quantity,1966,428
Eastern Africa,Production,1966,910
Middle Africa,Import Quantity,1966,120
Middle Africa,Production,1966,27
Northern Africa,Import Quantity,1966,3923
Northern Africa,Production,1966,3964
Southern Africa,Import Quantity,1966,692
Southern Africa,Production,1966,607
Western Africa,Import Quantity,1966,577
Western Africa,Production,1966,23
Africa,Import Quantity,1965,3731
Africa,Production,1965,6700
Eastern Africa,Import Quantity,1965,377
Eastern Africa,Production,1965,913
Middle Africa,Import Quantity,1965,113
Middle Africa,Production,1965,24
Northern Africa,Import Quantity,1965,2853
Northern Africa,Production,1965,5033
Southern Africa,Import Quantity,1965,35
Southern Africa,Production,1965,707
Western Africa,Import Quantity,1965,353
Western Africa,Production,1965,23
Africa,Import Quantity,1964,3542
Africa,Production,1964,6811
Eastern Africa,Import Quantity,1964,297
Eastern Africa,Production,1964,828
Middle Africa,Import Quantity,1964,103
Middle Africa,Production,1964,16
Northern Africa,Import Quantity,1964,2587
Northern Africa,Production,1964,4829
Southern Africa,Import Quantity,1964,198
Southern Africa,Production,1964,1115
Western Africa,Import Quantity,1964,356
Western Africa,Production,1964,23
Africa,Import Quantity,1963,3840
Africa,Production,1963,7147
Eastern Africa,Import Quantity,1963,301
Eastern Africa,Production,1963,814
Middle Africa,Import Quantity,1963,93
Middle Africa,Production,1963,23
Northern Africa,Import Quantity,1963,2795
Northern Africa,Production,1963,5354
Southern Africa,Import Quantity,1963,318
Southern Africa,Production,1963,936
Western Africa,Import Quantity,1963,332
Western Africa,Production,1963,20
Africa,Import Quantity,1962,3558
Africa,Production,1962,6838
Eastern Africa,Import Quantity,1962,322
Eastern Africa,Production,1962,766
Middle Africa,Import Quantity,1962,86
Middle Africa,Production,1962,21
Northern Africa,Import Quantity,1962,2731
Northern Africa,Production,1962,5269
Southern Africa,Import Quantity,1962,83
Southern Africa,Production,1962,761
Western Africa,Import Quantity,1962,336
Western Africa,Production,1962,21
Africa,Import Quantity,1961,3344
Africa,Production,1961,5082
Eastern Africa,Import Quantity,1961,284
Eastern Africa,Production,1961,777
Middle Africa,Import Quantity,1961,84
Middle Africa,Production,1961,22
Northern Africa,Import Quantity,1961,2513
Northern Africa,Production,1961,3333
Southern Africa,Import Quantity,1961,119
Southern Africa,Production,1961,930
Western Africa,Import Quantity,1961,344
Western Africa,Production,1961,21
